"","project_files","project_names","file_sizes","file_types","import_counts"
"1","COPYING","COPYING",410,"Other",0
"2","COPYING.GPL","COPYING",18667,"Other",0
"3","COPYING.LGPL","COPYING",27047,"Other",0
"4","COPYING.MPL","COPYING",57826,"Other",0
"5","MANIFEST.in","MANIFEST",106,"Other",0
"6","pyphen/__init__.py","__init__",10686,"Python",4
"7","pyphen/dictionaries/hyph_af.dic","hyph_af",14,"Other",0
"8","pyphen/dictionaries/hyph_af_ZA.dic","hyph_af_ZA",68257,"Other",0
"9","pyphen/dictionaries/hyph_bg.dic","hyph_bg",14,"Other",0
"10","pyphen/dictionaries/hyph_bg_BG.dic","hyph_bg_BG",66013,"Other",0
"11","pyphen/dictionaries/hyph_ca.dic","hyph_ca",20592,"Other",0
"12","pyphen/dictionaries/hyph_cs.dic","hyph_cs",14,"Other",0
"13","pyphen/dictionaries/hyph_cs_CZ.dic","hyph_cs_CZ",23686,"Other",0
"14","pyphen/dictionaries/hyph_da.dic","hyph_da",14,"Other",0
"15","pyphen/dictionaries/hyph_da_DK.dic","hyph_da_DK",7195,"Other",0
"16","pyphen/dictionaries/hyph_de.dic","hyph_de",14,"Other",0
"17","pyphen/dictionaries/hyph_de_AT.dic","hyph_de_AT",1171513,"Other",0
"18","pyphen/dictionaries/hyph_de_CH.dic","hyph_de_CH",1171513,"Other",0
"19","pyphen/dictionaries/hyph_de_DE.dic","hyph_de_DE",1171513,"Other",0
"20","pyphen/dictionaries/hyph_el.dic","hyph_el",14,"Other",0
"21","pyphen/dictionaries/hyph_el_GR.dic","hyph_el_GR",3784,"Other",0
"22","pyphen/dictionaries/hyph_en.dic","hyph_en",14,"Other",0
"23","pyphen/dictionaries/hyph_en_GB.dic","hyph_en_GB",121093,"Other",0
"24","pyphen/dictionaries/hyph_en_Latn_GB.dic","hyph_en_Latn_GB",14,"Other",0
"25","pyphen/dictionaries/hyph_en_Latn_US.dic","hyph_en_Latn_US",14,"Other",0
"26","pyphen/dictionaries/hyph_en_US.dic","hyph_en_US",117544,"Other",0
"27","pyphen/dictionaries/hyph_es.dic","hyph_es",4323,"Other",0
"28","pyphen/dictionaries/hyph_et.dic","hyph_et",14,"Other",0
"29","pyphen/dictionaries/hyph_et_EE.dic","hyph_et_EE",26329,"Other",0
"30","pyphen/dictionaries/hyph_fr.dic","hyph_fr",26101,"Other",0
"31","pyphen/dictionaries/hyph_gl.dic","hyph_gl",1710,"Other",0
"32","pyphen/dictionaries/hyph_hr.dic","hyph_hr",14,"Other",0
"33","pyphen/dictionaries/hyph_hr_HR.dic","hyph_hr_HR",9386,"Other",0
"34","pyphen/dictionaries/hyph_hu.dic","hyph_hu",14,"Other",0
"35","pyphen/dictionaries/hyph_hu_HU.dic","hyph_hu_HU",957261,"Other",0
"36","pyphen/dictionaries/hyph_id_ID.dic","hyph_id_ID",116105,"Other",0
"37","pyphen/dictionaries/hyph_is.dic","hyph_is",57706,"Other",0
"38","pyphen/dictionaries/hyph_it.dic","hyph_it",14,"Other",0
"39","pyphen/dictionaries/hyph_it_IT.dic","hyph_it_IT",2557,"Other",0
"40","pyphen/dictionaries/hyph_lt.dic","hyph_lt",14,"Other",0
"41","pyphen/dictionaries/hyph_lt_LT.dic","hyph_lt_LT",9364,"Other",0
"42","pyphen/dictionaries/hyph_lv.dic","hyph_lv",14,"Other",0
"43","pyphen/dictionaries/hyph_lv_LV.dic","hyph_lv_LV",91308,"Other",0
"44","pyphen/dictionaries/hyph_nb.dic","hyph_nb",14,"Other",0
"45","pyphen/dictionaries/hyph_nb_NO.dic","hyph_nb_NO",213820,"Other",0
"46","pyphen/dictionaries/hyph_nl.dic","hyph_nl",14,"Other",0
"47","pyphen/dictionaries/hyph_nl_NL.dic","hyph_nl_NL",132764,"Other",0
"48","pyphen/dictionaries/hyph_nn.dic","hyph_nn",14,"Other",0
"49","pyphen/dictionaries/hyph_nn_NO.dic","hyph_nn_NO",213820,"Other",0
"50","pyphen/dictionaries/hyph_pl.dic","hyph_pl",14,"Other",0
"51","pyphen/dictionaries/hyph_pl_PL.dic","hyph_pl_PL",42755,"Other",0
"52","pyphen/dictionaries/hyph_pt.dic","hyph_pt",14,"Other",0
"53","pyphen/dictionaries/hyph_pt_BR.dic","hyph_pt_BR",11540,"Other",0
"54","pyphen/dictionaries/hyph_pt_Latn_BR.dic","hyph_pt_Latn_BR",14,"Other",0
"55","pyphen/dictionaries/hyph_pt_Latn_PT.dic","hyph_pt_Latn_PT",14,"Other",0
"56","pyphen/dictionaries/hyph_pt_PT.dic","hyph_pt_PT",1596,"Other",0
"57","pyphen/dictionaries/hyph_ro.dic","hyph_ro",14,"Other",0
"58","pyphen/dictionaries/hyph_ro_RO.dic","hyph_ro_RO",39817,"Other",0
"59","pyphen/dictionaries/hyph_ru.dic","hyph_ru",14,"Other",0
"60","pyphen/dictionaries/hyph_ru_RU.dic","hyph_ru_RU",25946,"Other",0
"61","pyphen/dictionaries/hyph_sk.dic","hyph_sk",14,"Other",0
"62","pyphen/dictionaries/hyph_sk_SK.dic","hyph_sk_SK",20673,"Other",0
"63","pyphen/dictionaries/hyph_sl.dic","hyph_sl",14,"Other",0
"64","pyphen/dictionaries/hyph_sl_SI.dic","hyph_sl_SI",9658,"Other",0
"65","pyphen/dictionaries/hyph_sr.dic","hyph_sr",30720,"Other",0
"66","pyphen/dictionaries/hyph_sr_Latn.dic","hyph_sr_Latn",31804,"Other",0
"67","pyphen/dictionaries/hyph_sv.dic","hyph_sv",117933,"Other",0
"68","pyphen/dictionaries/hyph_te.dic","hyph_te",14,"Other",0
"69","pyphen/dictionaries/hyph_te_IN.dic","hyph_te_IN",1691,"Other",0
"70","pyphen/dictionaries/hyph_uk.dic","hyph_uk",14,"Other",0
"71","pyphen/dictionaries/hyph_uk_UA.dic","hyph_uk_UA",21876,"Other",0
"72","pyphen/dictionaries/hyph_zu.dic","hyph_zu",14,"Other",0
"73","pyphen/dictionaries/hyph_zu_ZA.dic","hyph_zu_ZA",2127,"Other",0
"74","pyphen/dictionaries/update.sh","update",314,"Other",0
"75","README","README",1284,"Other",0
"76","README.rst","README",6,"Other",0
"77","setup.cfg","setup",30,"Other",0
"78","setup.py","setup",1560,"Python",2
"79","test.py","test",4424,"Python",2
"80","tox.ini","tox",104,"Other",0
